Group ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Gene ID,"203508_at
204563_at
204513_s_at","204205_at
204959_at
207655_s_at","204836_at
205291_at
209795_at","207777_s_at
204912_at
205569_at","207160_at
205692_s_at
212827_at","209606_at
205267_at
204417_at","205398_s_at
209734_at
209354_at","206060_s_at
205790_at
200665_s_at","207641_at
207540_s_at
204430_s_at","203471_s_at
204951_at
207968_s_at","AFFX-r2-TagA_at
AFFX-r2-TagB_at
AFFX-r2-TagC_at","AFFX-r2-TagD_at
AFFX-r2-TagE_at
AFFX-r2-TagF_at","AFFX-r2-TagG_at
AFFX-r2-TagH_at
AFFX-DapX-3_at","AFFX-LysX-3_at
AFFX-PheX-3_at
AFFX-ThrX-3_at"
EXP 1,0,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512
EXP 2,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,0
EXP 3,0.25,0.5,1,2,4,8,16,32,64,128,256,512,0,0.125
EXP 4,0.5,1,2,4,8,16,32,64,128,256,512,0,0.125,0.25
EXP 5,1,2,4,8,16,32,64,128,256,512,0,0.125,0.25,0.5
EXP 6,2,4,8,16,32,64,128,256,512,0,0.125,0.25,0.5,1
EXP 7,4,8,16,32,64,128,256,512,0,0.125,0.25,0.5,1,2
EXP 8,8,16,32,64,128,256,512,0,0.125,0.25,0.5,1,2,4
EXP 9,16,32,64,128,256,512,0,0.125,0.25,0.5,1,2,4,8
EXP 10,32,64,128,256,512,0,0.125,0.25,0.5,1,2,4,8,16
EXP 11,64,128,256,512,0,0.125,0.25,0.5,1,2,4,8,16,32
EXP 12,128,256,512,0,0.125,0.25,0.5,1,2,4,8,16,32,64
EXP 13,256,512,0,0.125,0.25,0.5,1,2,4,8,16,32,64,128
EXP 14,512,0,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256
